Genre (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Adventure,"308,633,333.33","82,828,571.43","225,804,761.90"
Animation,"276,200,000.00","89,666,666.67","186,533,333.33"
Family,"270,958,333.33","78,483,333.33","192,475,000.00"
Sci-Fi,"255,443,571.43","65,254,285.71","190,189,285.71"
Fantasy,"244,610,000.00","91,000,000.00","153,610,000.00"
Action,"233,839,500.00","82,810,000.00","151,029,500.00"
Thriller,"136,937,500.00","33,243,750.00","103,693,750.00"
Musical,"130,000,000.00","40,250,000.00","89,750,000.00"
Comedy,"123,442,857.14","39,914,285.71","83,528,571.43"
Mystery,"96,780,000.00","22,600,000.00","74,180,000.00"
Drama,"80,990,337.08","26,785,955.06","54,204,382.02"
Horror,"75,646,511.63","14,688,372.09","60,958,139.53"
Documentary,"68,500,000.00","10,000,000.00","58,500,000.00"
Biography,"58,806,666.67","28,760,000.00","30,046,666.67"
Crime,"57,669,565.22","30,443,478.26","27,226,086.96"
Romance,"53,705,384.62","19,730,769.23","33,974,615.38"
Religious,"36,914,285.71","10,142,857.14","26,771,428.57"
Grand Total,"151,983,208.66","48,871,397.64","103,111,811.02"